date,mean,buy,sell,
31/01/2014,28.7352,28.642,28.8283,
28/02/2014,29.1685,29.0782,29.2588,
31/03/2014,29.4767,29.3919,29.5615,
30/04/2014,29.0316,28.9434,29.1198,
30/05/2014,29.1582,29.0708,29.2456,
30/06/2014,29.6371,29.548,29.7262,
31/07/2014,29.8962,29.8113,29.981,
29/08/2014,29.6739,29.5903,29.7575,
30/09/2014,29.6822,29.5966,29.7677,
31/10/2014,30.3295,30.2458,30.4132,
28/11/2014,30.8054,30.7201,30.8908,
31/12/2014,30.5748,30.4971,30.6524,
30/01/2015,31.1977,31.1191,31.2763,
27/02/2015,31.666,31.5878,31.7443,
31/03/2015,32.1331,32.0538,32.2123,
30/04/2015,31.554,31.4715,31.6365,
29/05/2015,31.2127,31.1339,31.2914,
30/06/2015,33.3032,33.2227,33.3837,
31/07/2015,33.3298,33.2506,33.4089,
31/08/2015,35.1883,35.1081,35.2686,
30/09/2015,35.0452,34.965,35.1254,
30/10/2015,35.0197,34.9362,35.1032,
30/11/2015,32.8554,32.7741,32.9367,
31/12/2015,32.9876,32.9073,33.0679,
29/01/2016,33.9548,33.8728,34.0367,
29/02/2016,32.9705,32.889,33.0521,
31/03/2016,33.3058,33.2247,33.3869,
29/04/2016,32.954,32.8739,33.0341,
31/05/2016,33.3531,33.2704,33.4357,
30/06/2016,33.6789,33.597,33.7607,
29/07/2016,33.2877,33.2065,33.369,
31/08/2016,33.2483,33.1661,33.3304,
30/09/2016,33.4086,33.3262,33.4909,
10/30/16,33.7628,33.6815,33.8441,
11/30/16,35.5822,35.49967039,35.6647708,
12/30/16,35.2732,35.19052055,35.35597432,
1/31/17,34.5341,34.4527496,34.61538462,
2/28/17,34.7392,34.65721421,34.82121237,
3/31/17,35.0778,34.99515034,35.16034985,
4/28/17,35.3122,35.23054174,35.39393939,
5/31/17,34.8517,34.76963053,34.93378374,
6/30/17,34.5671,34.48552667,34.64860778,
7/31/17,34.7413,34.65975857,34.82286204,
8/31/17,34.903,34.82065024,34.98528127,
9/29/17,34.8678,34.78564709,34.95004443,
10/31/17,35.1997,35.11748649,35.28181477,
11/30/17,35.2048,35.12223441,35.28727461,
12/29/17,35.2121,35.12959886,35.29468802,
1/31/18,35.386,35.30253819,35.46937733,
2/28/18,35.9194,35.83483533,36.00394024,
3/28/18,36.3138,36.25297843,36.37456372,
,,,,
